issue,n1,n2,n3,n4,n5,n6,special
196,3.0,37.0,24.0,10.0,41.0,19.0,39.0
197,40.0,19.0,30.0,48.0,44.0,25.0,8.0
198,48.0,35.0,45.0,21.0,12.0,24.0,7.0
199,17.0,49.0,42.0,45.0,5.0,38.0,36.0
200,43.0,46.0,5.0,32.0,35.0,29.0,39.0
201,46.0,28.0,19.0,35.0,31.0,25.0,32.0
202,21.0,15.0,25.0,47.0,13.0,45.0,40.0
203,12.0,11.0,31.0,3.0,44.0,37.0,25.0
204,11.0,12.0,17.0,26.0,10.0,7.0,5.0
205,30.0,17.0,39.0,12.0,11.0,28.0,3.0
206,9.0,49.0,37.0,3.0,40.0,35.0,47.0
207,9.0,40.0,26.0,23.0,44.0,13.0,31.0
208,7.0,48.0,40.0,35.0,23.0,28.0,19.0
209,44.0,5.0,39.0,14.0,21.0,22.0,8.0
210,40.0,37.0,15.0,17.0,42.0,48.0,49.0
211,13.0,12.0,39.0,37.0,38.0,8.0,1.0
212,43.0,32.0,16.0,39.0,19.0,27.0,6.0
213,9.0,5.0,12.0,22.0,1.0,15.0,35.0
214,29.0,30.0,27.0,38.0,43.0,31.0,4.0
215,19.0,38.0,30.0,13.0,1.0,11.0,14.0
216,18.0,41.0,32.0,44.0,36.0,45.0,37.0
217,34.0,12.0,11.0,30.0,42.0,7.0,26.0
